monitoring_period,amount_band,pca_signal_band,transactions,transaction_amount,fraud_cases,fraud_amount,avg_pca_abs_signal,fraud_rate,fraud_amount_bps,appetite_status
1,D1,D1,77,66.69,0,0.0,10.479563877246006,0.0,0.0,Within appetite
1,D1,D10,205,141.0,31,29.0,46.097531053306625,0.15121951219512195,2056.7375886524824,Breach
1,D1,D2,41,35.82,0,0.0,12.438961255374975,0.0,0.0,Within appetite
1,D1,D3,66,51.81,0,0.0,13.68010212013332,0.0,0.0,Within appetite
1,D1,D4,88,78.62,0,0.0,14.947226767977453,0.0,0.0,Within appetite
1,D1,D5,202,190.53,0,0.0,16.138888175874932,0.0,0.0,Within appetite
1,D1,D6,171,144.3,0,0.0,17.22708248545544,0.0,0.0,Within appetite
1,D1,D7,127,58.55,0,0.0,18.632763134080925,0.0,0.0,Within appetite
1,D1,D8,191,121.82,0,0.0,20.049444929196326,0.0,0.0,Within appetite
1,D1,D9,88,52.21,0,0.0,22.95918391890988,0.0,0.0,Within appetite
1,D10,D1,4,970.6500000000001,0,0.0,10.767420007719675,0.0,0.0,Within appetite
1,D10,D10,215,171751.89,3,2578.61,35.14680890275798,0.013953488372093023,150.135756875805,Breach
1,D10,D2,15,4382.51,0,0.0,12.501439481527347,0.0,0.0,Within appetite
1,D10,D3,29,10272.55,0,0.0,13.703993500896042,0.0,0.0,Within appetite
1,D10,D4,22,6735.7699999999995,0,0.0,14.797074177459109,0.0,0.0,Within appetite
1,D10,D5,25,8115.48,0,0.0,16.18726529534484,0.0,0.0,Within appetite
1,D10,D6,48,16925.13,0,0.0,17.378630446131265,0.0,0.0,Within appetite
1,D10,D7,62,21000.15,0,0.0,18.569295828030842,0.0,0.0,Within appetite
1,D10,D8,87,32098.54,0,0.0,20.25452514311595,0.0,0.0,Within appetite
1,D10,D9,134,60055.73,0,0.0,23.03503188894733,0.0,0.0,Within appetite
1,D2,D1,122,238.06,0,0.0,10.400422043870963,0.0,0.0,Within appetite
1,D2,D10,109,239.29,1,1.1,34.41620482437976,0.009174311926605505,45.969325922520795,Watchlist
1,D2,D2,67,145.84,0,0.0,12.309457848838573,0.0,0.0,Within appetite
1,D2,D3,33,71.28,0,0.0,13.720677163908208,0.0,0.0,Within appetite
1,D2,D4,28,55.68,0,0.0,14.938398959626918,0.0,0.0,Within appetite
1,D2,D5,54,115.11,0,0.0,16.192183407808457,0.0,0.0,Within appetite
1,D2,D6,108,230.68,0,0.0,17.28018711773374,0.0,0.0,Within appetite
1,D2,D7,91,189.17,0,0.0,18.496988742022314,0.0,0.0,Within appetite
1,D2,D8,58,123.48,0,0.0,20.31484853998679,0.0,0.0,Within appetite
1,D2,D9,68,144.51,0,0.0,23.12212226350161,0.0,0.0,Within appetite
1,D3,D1,121,698.27,0,0.0,10.62220968336143,0.0,0.0,Within appetite
1,D3,D10,126,734.78,0,0.0,31.23265439116726,0.0,0.0,Within appetite
1,D3,D2,71,407.7,0,0.0,12.403789757653566,0.0,0.0,Within appetite
1,D3,D3,76,414.2,0,0.0,13.61103468905319,0.0,0.0,Within appetite
1,D3,D4,59,334.35,0,0.0,14.846635019275904,0.0,0.0,Within appetite
1,D3,D5,106,613.47,0,0.0,16.260149915489887,0.0,0.0,Within appetite
1,D3,D6,154,878.3,0,0.0,17.281614430846933,0.0,0.0,Within appetite
1,D3,D7,172,1022.11,0,0.0,18.59738917586322,0.0,0.0,Within appetite
1,D3,D8,144,878.13,0,0.0,20.241698374501173,0.0,0.0,Within appetite
1,D3,D9,141,856.39,0,0.0,23.01319785903738,0.0,0.0,Within appetite
1,D4,D1,104,1097.8,0,0.0,10.789877338838796,0.0,0.0,Within appetite
1,D4,D10,125,1322.39,0,0.0,32.07319939402636,0.0,0.0,Within appetite
1,D4,D2,68,736.42,0,0.0,12.359517624070913,0.0,0.0,Within appetite
1,D4,D3,39,401.9,0,0.0,13.64577191075144,0.0,0.0,Within appetite
1,D4,D4,56,608.18,0,0.0,14.896568103717247,0.0,0.0,Within appetite
1,D4,D5,84,924.62,0,0.0,16.203178455669175,0.0,0.0,Within appetite
1,D4,D6,152,1648.53,0,0.0,17.345859323592883,0.0,0.0,Within appetite
1,D4,D7,153,1661.18,0,0.0,18.60224822632383,0.0,0.0,Within appetite
1,D4,D8,120,1267.0,0,0.0,20.214367079260548,0.0,0.0,Within appetite
1,D4,D9,157,1713.8700000000001,0,0.0,22.99695911414189,0.0,0.0,Within appetite
1,D5,D1,71,1233.69,0,0.0,10.527084186563524,0.0,0.0,Within appetite
1,D5,D10,135,2331.72,0,0.0,29.19391197016459,0.0,0.0,Within appetite
1,D5,D2,52,917.3,0,0.0,12.420169069794921,0.0,0.0,Within appetite
1,D5,D3,51,874.42,0,0.0,13.697638824694467,0.0,0.0,Within appetite
1,D5,D4,51,840.0,0,0.0,14.961517822917262,0.0,0.0,Within appetite
1,D5,D5,239,3874.39,0,0.0,16.192657852695913,0.0,0.0,Within appetite
1,D5,D6,329,5366.9,0,0.0,17.30282513577251,0.0,0.0,Within appetite
1,D5,D7,233,3906.68,0,0.0,18.639798529075556,0.0,0.0,Within appetite
1,D5,D8,182,3008.5,0,0.0,20.172535698324467,0.0,0.0,Within appetite
1,D5,D9,170,2909.79,0,0.0,23.238781935178995,0.0,0.0,Within appetite
1,D6,D1,54,1534.78,0,0.0,10.632264459369845,0.0,0.0,Within appetite
1,D6,D10,124,3683.69,1,30.39,31.324574797850754,0.008064516129032258,82.49879875885321,Watchlist
1,D6,D2,43,1272.89,0,0.0,12.49080769226742,0.0,0.0,Within appetite
1,D6,D3,37,1025.71,0,0.0,13.593369582863774,0.0,0.0,Within appetite
1,D6,D4,32,870.82,0,0.0,15.028775764932833,0.0,0.0,Within appetite
1,D6,D5,83,2458.7,0,0.0,16.221904759261708,0.0,0.0,Within appetite
1,D6,D6,139,4205.8,0,0.0,17.318249833132064,0.0,0.0,Within appetite
1,D6,D7,158,4599.86,0,0.0,18.657204399248442,0.0,0.0,Within appetite
1,D6,D8,189,5373.67,0,0.0,20.179451496626395,0.0,0.0,Within appetite
1,D6,D9,147,4225.18,0,0.0,23.01647794653955,0.0,0.0,Within appetite
1,D7,D1,39,1904.39,0,0.0,10.485148156646343,0.0,0.0,Within appetite
1,D7,D10,165,7815.29,1,59.0,31.270430290995236,0.006060606060606061,75.49303992558177,Watchlist
1,D7,D2,33,1536.66,0,0.0,12.411449438017858,0.0,0.0,Within appetite
1,D7,D3,48,2201.37,0,0.0,13.751079134028558,0.0,0.0,Within appetite
1,D7,D4,34,1579.39,0,0.0,14.896582632691711,0.0,0.0,Within appetite
1,D7,D5,112,4915.92,0,0.0,16.21765896834778,0.0,0.0,Within appetite
1,D7,D6,117,5062.48,0,0.0,17.313419396651884,0.0,0.0,Within appetite
1,D7,D7,138,6445.58,0,0.0,18.703109586289898,0.0,0.0,Within appetite
1,D7,D8,155,7238.9,0,0.0,20.303438567667868,0.0,0.0,Within appetite
1,D7,D9,198,9332.18,0,0.0,23.00779933379338,0.0,0.0,Within appetite
1,D8,D1,42,3201.5,0,0.0,10.442254238687164,0.0,0.0,Within appetite
1,D8,D10,145,11172.77,0,0.0,30.67281240662587,0.0,0.0,Within appetite
1,D8,D2,40,3340.24,0,0.0,12.49777929369844,0.0,0.0,Within appetite
1,D8,D3,39,3024.32,0,0.0,13.593838743733123,0.0,0.0,Within appetite
1,D8,D4,43,3298.62,0,0.0,14.960840847468884,0.0,0.0,Within appetite
1,D8,D5,59,4625.94,0,0.0,16.088276897412822,0.0,0.0,Within appetite
1,D8,D6,58,4534.69,0,0.0,17.38603909927222,0.0,0.0,Within appetite
1,D8,D7,117,8944.9,0,0.0,18.662072595508036,0.0,0.0,Within appetite
1,D8,D8,115,8899.87,0,0.0,20.207780609910294,0.0,0.0,Within appetite
1,D8,D9,140,10981.65,0,0.0,22.982203104117154,0.0,0.0,Within appetite
1,D9,D1,36,5417.26,0,0.0,10.793292486043287,0.0,0.0,Within appetite
1,D9,D10,130,18891.6,1,179.66,32.2096597814717,0.007692307692307693,95.10046793283789,Watchlist
1,D9,D2,25,3797.56,0,0.0,12.24531839621408,0.0,0.0,Within appetite
1,D9,D3,45,6586.8,0,0.0,13.616244618357626,0.0,0.0,Within appetite
1,D9,D4,62,8713.71,0,0.0,14.867842452452297,0.0,0.0,Within appetite
1,D9,D5,56,7847.88,0,0.0,16.089086459890257,0.0,0.0,Within appetite
1,D9,D6,57,8487.78,0,0.0,17.302517710687205,0.0,0.0,Within appetite
1,D9,D7,94,13587.75,0,0.0,18.677608283215807,0.0,0.0,Within appetite
1,D9,D8,133,19078.2,0,0.0,20.258803468017703,0.0,0.0,Within appetite
1,D9,D9,143,20299.75,0,0.0,22.988094634521353,0.0,0.0,Within appetite
2,D1,D1,121,108.49,0,0.0,10.344016370085352,0.0,0.0,Within appetite
2,D1,D10,159,132.3,14,13.04,49.154427331049675,0.0880503144654088,985.638699924414,Breach
2,D1,D2,73,61.72,0,0.0,12.402856349879462,0.0,0.0,Within appetite
2,D1,D3,59,53.3,0,0.0,13.770451302101696,0.0,0.0,Within appetite
2,D1,D4,48,37.67,0,0.0,14.944742092883368,0.0,0.0,Within appetite
2,D1,D5,89,65.74,0,0.0,16.18136195425903,0.0,0.0,Within appetite
2,D1,D6,81,63.660000000000004,0,0.0,17.27048567437121,0.0,0.0,Within appetite
2,D1,D7,68,50.54,0,0.0,18.62698800700215,0.0,0.0,Within appetite
2,D1,D8,80,52.1,0,0.0,20.21207925915614,0.0,0.0,Within appetite
2,D1,D9,68,45.13,0,0.0,23.101471074991675,0.0,0.0,Within appetite
2,D10,D1,18,4726.07,0,0.0,10.840193057717848,0.0,0.0,Within appetite
2,D10,D10,262,244736.62,3,2716.11,36.9841283980272,0.011450381679389313,110.98093942786332,Breach
2,D10,D2,26,7387.12,0,0.0,12.43889498477863,0.0,0.0,Within appetite
2,D10,D3,24,8116.22,0,0.0,13.82230925153086,0.0,0.0,Within appetite
2,D10,D4,36,12520.05,0,0.0,14.98306358981603,0.0,0.0,Within appetite
2,D10,D5,53,18954.4,0,0.0,16.12361441518888,0.0,0.0,Within appetite
2,D10,D6,65,24502.18,0,0.0,17.358733676486146,0.0,0.0,Within appetite
2,D10,D7,75,30699.13,0,0.0,18.64934583925263,0.0,0.0,Within appetite
2,D10,D8,88,36089.51,0,0.0,20.365198946424353,0.0,0.0,Within appetite
2,D10,D9,151,65642.0,0,0.0,23.043448092761647,0.0,0.0,Within appetite
2,D2,D1,249,505.03,0,0.0,10.48658554088131,0.0,0.0,Within appetite
2,D2,D10,96,194.92,1,3.12,33.59413630621904,0.010416666666666666,160.0656679663452,Breach
2,D2,D2,96,194.27,0,0.0,12.277962192891692,0.0,0.0,Within appetite
2,D2,D3,46,100.16,0,0.0,13.6593450020292,0.0,0.0,Within appetite
2,D2,D4,44,94.43,0,0.0,14.94193254479748,0.0,0.0,Within appetite
2,D2,D5,101,210.59,0,0.0,16.16429108576351,0.0,0.0,Within appetite
2,D2,D6,117,242.97,0,0.0,17.270703393431887,0.0,0.0,Within appetite
2,D2,D7,90,196.15,0,0.0,18.589414365977664,0.0,0.0,Within appetite
2,D2,D8,64,134.81,0,0.0,20.245916434052667,0.0,0.0,Within appetite
2,D2,D9,56,117.1,0,0.0,22.873303476103892,0.0,0.0,Within appetite
2,D3,D1,143,811.46,0,0.0,10.56484004716839,0.0,0.0,Within appetite
2,D3,D10,101,615.94,0,0.0,31.75067419580088,0.0,0.0,Within appetite
2,D3,D2,73,415.81,0,0.0,12.284414799359835,0.0,0.0,Within appetite
2,D3,D3,50,303.51,0,0.0,13.675140084314663,0.0,0.0,Within appetite
2,D3,D4,40,225.55,0,0.0,14.874307554570397,0.0,0.0,Within appetite
2,D3,D5,80,461.12,0,0.0,16.1263068042246,0.0,0.0,Within appetite
2,D3,D6,108,628.23,0,0.0,17.334231920488392,0.0,0.0,Within appetite
2,D3,D7,149,847.04,1,3.93,18.760144905788,0.006711409395973154,46.39686437476389,Watchlist
2,D3,D8,181,1007.15,2,7.58,20.147466694735645,0.011049723756906077,75.26187757533634,Breach
2,D3,D9,108,678.01,1,3.76,22.924957055324988,0.009259259259259259,55.45640919750446,Watchlist
2,D4,D1,148,1472.27,0,0.0,10.593881930402441,0.0,0.0,Within appetite
2,D4,D10,127,1360.56,1,11.39,32.99109076445428,0.007874015748031496,83.71552889986478,Watchlist
2,D4,D2,83,867.63,0,0.0,12.293787642207725,0.0,0.0,Within appetite
2,D4,D3,42,432.86,0,0.0,13.56461272569005,0.0,0.0,Within appetite
2,D4,D4,65,678.23,0,0.0,14.9732318991678,0.0,0.0,Within appetite
2,D4,D5,75,791.21,0,0.0,16.24488918941822,0.0,0.0,Within appetite
2,D4,D6,125,1322.05,0,0.0,17.34829832748322,0.0,0.0,Within appetite
2,D4,D7,271,3010.21,0,0.0,18.884437634285078,0.0,0.0,Within appetite
2,D4,D8,521,5952.16,0,0.0,20.260821116731147,0.0,0.0,Within appetite
2,D4,D9,156,1744.0,0,0.0,22.55479764493348,0.0,0.0,Within appetite
2,D5,D1,86,1522.35,0,0.0,10.578840105250237,0.0,0.0,Within appetite
2,D5,D10,96,1659.84,0,0.0,34.26197712800229,0.0,0.0,Within appetite
2,D5,D2,55,950.89,0,0.0,12.378205446532244,0.0,0.0,Within appetite
2,D5,D3,76,1304.85,0,0.0,13.595072197949294,0.0,0.0,Within appetite
2,D5,D4,98,1683.95,0,0.0,14.930920698680415,0.0,0.0,Within appetite
2,D5,D5,88,1541.72,0,0.0,16.130607237209983,0.0,0.0,Within appetite
2,D5,D6,118,2065.93,0,0.0,17.304980288667537,0.0,0.0,Within appetite
2,D5,D7,127,2265.0299999999997,0,0.0,18.69797771799327,0.0,0.0,Within appetite
2,D5,D8,121,2136.69,0,0.0,20.320823937570157,0.0,0.0,Within appetite
2,D5,D9,114,1935.73,0,0.0,22.971657311106913,0.0,0.0,Within appetite
2,D6,D1,80,2251.98,0,0.0,10.426807056515155,0.0,0.0,Within appetite
2,D6,D10,81,2340.9,2,53.66,31.692443999845658,0.024691358024691357,229.22807467213462,Breach
2,D6,D2,63,1764.11,0,0.0,12.456117289185677,0.0,0.0,Within appetite
2,D6,D3,71,2066.73,0,0.0,13.65014717035126,0.0,0.0,Within appetite
2,D6,D4,101,2998.86,0,0.0,14.910736156633003,0.0,0.0,Within appetite
2,D6,D5,88,2467.31,0,0.0,16.170745866711908,0.0,0.0,Within appetite
2,D6,D6,115,3262.04,0,0.0,17.226925538362067,0.0,0.0,Within appetite
2,D6,D7,107,3027.99,0,0.0,18.580657065547925,0.0,0.0,Within appetite
2,D6,D8,97,2791.6,0,0.0,20.275312187009163,0.0,0.0,Within appetite
2,D6,D9,108,3115.45,0,0.0,22.834684767059546,0.0,0.0,Within appetite
2,D7,D1,105,4986.73,0,0.0,10.507328155871207,0.0,0.0,Within appetite
2,D7,D10,50,2377.64,0,0.0,33.02067169527408,0.0,0.0,Within appetite
2,D7,D2,65,3012.57,0,0.0,12.417041771872512,0.0,0.0,Within appetite
2,D7,D3,73,3438.55,0,0.0,13.713270904591262,0.0,0.0,Within appetite
2,D7,D4,80,3776.26,0,0.0,14.919944439995902,0.0,0.0,Within appetite
2,D7,D5,85,4012.78,0,0.0,16.10734858719792,0.0,0.0,Within appetite
2,D7,D6,102,4808.94,0,0.0,17.31103522528211,0.0,0.0,Within appetite
2,D7,D7,97,4611.27,0,0.0,18.595674643426666,0.0,0.0,Within appetite
2,D7,D8,83,3976.82,0,0.0,20.37746941285665,0.0,0.0,Within appetite
2,D7,D9,99,4637.67,0,0.0,22.833160643941515,0.0,0.0,Within appetite
2,D8,D1,78,6180.97,0,0.0,10.371681801541346,0.0,0.0,Within appetite
2,D8,D10,310,27729.26,21,2099.79,59.831898392284444,0.06774193548387097,757.2470379663937,Breach
2,D8,D2,65,5147.23,0,0.0,12.436562446067772,0.0,0.0,Within appetite
2,D8,D3,66,4939.3,0,0.0,13.729106387171539,0.0,0.0,Within appetite
2,D8,D4,90,6910.19,0,0.0,14.912271785540876,0.0,0.0,Within appetite
2,D8,D5,114,9306.91,0,0.0,16.242200342927905,0.0,0.0,Within appetite
2,D8,D6,93,7289.78,0,0.0,17.32137193684155,0.0,0.0,Within appetite
2,D8,D7,92,7118.11,0,0.0,18.597509422180607,0.0,0.0,Within appetite
