[2026-07-11 03:35:36] Phase 0 artifacts generated. Observed rows=284807, fraud_cases=492, validation=PASS.
2026-07-11 10:44:15,665 | INFO | phase1.data | Observed data validated: rows=284807 fraud=492
2026-07-11 10:45:23,789 | INFO | phase1.models | Fitting observed model: logistic_no_resampling
2026-07-11 10:45:24,467 | INFO | phase1.models | Fitting observed model: logistic_class_weight
2026-07-11 10:45:25,332 | INFO | phase1.models | Fitting observed model: hist_gradient_boosting
2026-07-11 10:45:26,453 | INFO | phase1.models | Fitting observed model: logistic_random_undersampling
2026-07-11 10:45:26,777 | INFO | phase1.models | Fitting observed model: logistic_smote
2026-07-11 10:45:37,695 | INFO | phase1.models | Observed champion selected: logistic_class_weight
2026-07-11 11:06:53,163 | INFO | phase1.data | Observed data validated: rows=284807 fraud=492
2026-07-11 11:07:05,911 | INFO | phase1.models | Fitting observed model: logistic_no_resampling
2026-07-11 11:07:06,649 | INFO | phase1.models | Fitting observed model: logistic_class_weight
2026-07-11 11:07:07,572 | INFO | phase1.models | Fitting observed model: hist_gradient_boosting
2026-07-11 11:07:09,037 | INFO | phase1.models | Fitting observed model: logistic_random_undersampling
2026-07-11 11:07:09,424 | INFO | phase1.models | Fitting observed model: logistic_smote
2026-07-11 11:07:21,024 | INFO | phase1.models | Observed champion selected: logistic_class_weight
2026-07-11 11:08:39,922 | INFO | phase1.models | Fitting observed model: logistic_no_resampling
2026-07-11 11:08:40,626 | INFO | phase1.models | Fitting observed model: logistic_class_weight
2026-07-11 11:08:41,556 | INFO | phase1.models | Fitting observed model: hist_gradient_boosting
2026-07-11 11:08:42,978 | INFO | phase1.models | Fitting observed model: logistic_random_undersampling
2026-07-11 11:08:43,312 | INFO | phase1.models | Fitting observed model: logistic_smote
2026-07-11 11:08:54,442 | INFO | phase1.models | Observed champion selected: logistic_class_weight
2026-07-11 11:09:21,110 | INFO | phase3.synthetic_entities | Synthetic entities generated: transactions=250000
2026-07-11 11:09:53,077 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3002 disputes=15000
2026-07-11 11:10:10,396 | INFO | phase4.rules | Fraud rules built: rules=15 aggregate_alert_rate=0.0481
2026-07-11 11:10:28,925 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0295
2026-07-11 11:10:39,092 | INFO | phase5.alert_operations | Alert operations built: alerts=5696 base_daily=189.87 max_backlog=0
2026-07-11 11:10:52,357 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=0
2026-07-11 11:11:12,379 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=0
2026-07-11 11:12:11,875 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:12:31,007 | INFO | phase8.validation | Final validation complete: pass=189 total=189 fail=0
2026-07-11 11:15:00,190 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:15:16,625 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:15:35,303 | INFO | phase8.validation | Final validation complete: pass=189 total=189 fail=0
2026-07-11 11:16:50,986 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:17:08,425 | INFO | phase8.validation | Final validation complete: pass=194 total=194 fail=0
2026-07-11 11:19:51,235 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:20:08,425 | INFO | phase8.validation | Final validation complete: pass=205 total=205 fail=0
2026-07-11 11:30:03,667 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=2980 disputes=15000
2026-07-11 11:31:42,118 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3008 disputes=15000
2026-07-11 11:32:10,629 | INFO | phase4.rules | Fraud rules built: rules=15 aggregate_alert_rate=0.1544
2026-07-11 11:32:26,294 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0672
2026-07-11 11:32:37,827 | INFO | phase5.alert_operations | Alert operations built: alerts=12550 base_daily=418.33 max_backlog=5050
2026-07-11 11:34:32,135 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3008 disputes=15000
2026-07-11 11:34:51,484 | INFO | phase4.rules | Fraud rules built: rules=15 aggregate_alert_rate=0.0355
2026-07-11 11:35:12,472 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0227
2026-07-11 11:35:22,425 | INFO | phase5.alert_operations | Alert operations built: alerts=5074 base_daily=169.13 max_backlog=0
2026-07-11 11:39:00,005 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0238
2026-07-11 11:39:18,374 | INFO | phase5.alert_operations | Alert operations built: alerts=5471 base_daily=182.37 max_backlog=0
2026-07-11 11:39:39,314 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=1
2026-07-11 11:40:36,811 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=1
2026-07-11 11:40:56,945 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=1
2026-07-11 11:41:16,141 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:42:33,121 | INFO | phase8.validation | Final validation complete: pass=218 total=219 fail=1
2026-07-11 11:43:36,485 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3019 disputes=15000
2026-07-11 11:45:05,070 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3019 disputes=15000
2026-07-11 11:45:36,829 | INFO | phase4.rules | Fraud rules built: rules=15 aggregate_alert_rate=0.0356
2026-07-11 11:46:00,745 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0244
2026-07-11 11:46:27,513 | INFO | phase5.alert_operations | Alert operations built: alerts=5537 base_daily=184.57 max_backlog=0
2026-07-11 11:46:44,488 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=1
2026-07-11 11:47:01,628 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 11:47:26,381 | INFO | phase8.validation | Final validation complete: pass=219 total=219 fail=0
2026-07-11 15:48:34,021 | INFO | phase1.data | Observed data validated: rows=284807 fraud=492
2026-07-11 15:48:42,457 | INFO | phase1.models | Fitting observed model: logistic_no_resampling
2026-07-11 15:48:43,256 | INFO | phase1.models | Fitting observed model: logistic_class_weight
2026-07-11 15:48:44,238 | INFO | phase1.models | Fitting observed model: hist_gradient_boosting
2026-07-11 15:48:45,871 | INFO | phase1.models | Fitting observed model: logistic_random_undersampling
2026-07-11 15:48:46,221 | INFO | phase1.models | Fitting observed model: logistic_smote
2026-07-11 15:49:03,877 | INFO | phase1.models | Observed champion selected: logistic_class_weight
2026-07-11 15:49:16,182 | INFO | phase3.synthetic_entities | Synthetic entities generated: transactions=250000
2026-07-11 15:49:48,437 | INFO | phase3.synthetic_labels | Synthetic labels built: fraud=3019 disputes=15000
2026-07-11 15:50:02,732 | INFO | phase4.rules | Fraud rules built: rules=15 aggregate_alert_rate=0.0356
2026-07-11 15:50:19,978 | INFO | phase4.hybrid | Hybrid engine completed: actionable_rate=0.0244
2026-07-11 15:50:26,994 | INFO | phase5.alert_operations | Alert operations built: alerts=5537 base_daily=184.57 max_backlog=0
2026-07-11 15:50:33,288 | INFO | phase6.operational_risk | Operational risk outputs generated: incidents=18 fairness_flags=1
2026-07-11 15:50:46,903 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
2026-07-11 15:52:18,652 | INFO | phase5.alert_operations | Alert operations built: alerts=5537 base_daily=184.57 max_backlog=0
2026-07-11 15:52:32,132 | INFO | phase8.excel_reports | Excel, tests, reports and HTML generated
