monitoring_period,rows,fraud_count,fraud_rate,pr_auc,roc_auc,threshold,precision,recall,f1,alert_rate,alerts_per_1000,false_positive_rate,fraud_amount_recall,fraud_amount_captured,true_positive,false_positive,false_negative,true_negative,brier_score,score_psi_vs_train,data_layer,data_status,source_type,claim_boundary
1,10000,38,0.0038,0.976549458045303,0.9995641331797673,0.00402902456160726,0.5441176470588235,0.9736842105263158,0.6981132075471698,0.0068,6.8,0.003111824934752058,0.8161764705882354,2348.76,37,31,1,9931,0.0002691813298654594,0.005801805979401247,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
2,10000,47,0.0047,0.44259480938186735,0.9952542909119672,0.00402902456160726,0.39090909090909093,0.9148936170212766,0.5477707006369427,0.011,11.0,0.006731638701898925,0.9970065632130732,5085.890000000001,43,67,4,9886,0.004089838278823177,0.026773983293148985,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
3,10000,9,0.0009,0.6449111347961755,0.9665031862009141,0.00402902456160726,0.23076923076923078,0.6666666666666666,0.34285714285714286,0.0026,2.6,0.0020018016214593134,0.893605817950603,899.4499999999999,6,20,3,9971,0.00043685687959319814,0.010890785481789223,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
4,10000,10,0.001,0.9011111111111112,0.9991891891891892,0.00402902456160726,0.3333333333333333,0.9,0.4864864864864865,0.0027,2.7,0.0018018018018018018,0.30009009820704563,333.07,9,18,1,9972,0.0001799765600456367,0.008888132040827102,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
5,10000,44,0.0044,0.9709380224105254,0.9999223857701158,0.00402902456160726,0.676923076923077,1.0,0.8073394495412844,0.0065,6.5,0.002109280835676979,1.0,4729.9,44,21,0,9935,0.0003653791923314139,0.008692035384293795,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
6,10000,15,0.0015,0.5531500009206501,0.9417860123518612,0.00402902456160726,0.26666666666666666,0.5333333333333333,0.35555555555555557,0.003,3.0,0.0022033049574361543,0.07453998182644253,26.250000000000004,8,22,7,9963,0.0008227257550257903,0.004643694115745525,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
7,10000,12,0.0012,0.6114435107866609,0.9498815244960619,0.00402902456160726,0.36,0.75,0.4864864864864865,0.0025,2.5,0.0016019223067681217,0.6247240300600482,868.71,9,16,3,9972,0.0004982599591481814,0.005279607984466383,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
8,10000,21,0.0021,0.8682041524931889,0.9640578548284732,0.00402902456160726,0.47368421052631576,0.8571428571428571,0.6101694915254238,0.0038,3.8,0.002004208838560978,0.8307046053190587,1564.25,18,20,3,9959,0.0005008805097805991,0.0038517948695176865,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
9,10000,15,0.0015,0.9833333333333334,0.999966616591554,0.00402902456160726,0.38461538461538464,1.0,0.5555555555555556,0.0039,3.9,0.0024036054081121683,1.0,4065.7200000000003,15,24,0,9961,0.0003103405766305296,0.003625483969760769,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
10,10000,12,0.0012,0.6083553068814793,0.9079729008143105,0.00402902456160726,0.25925925925925924,0.5833333333333334,0.358974358974359,0.0027,2.7,0.002002402883460152,0.8760536618899677,2969.27,7,20,5,9968,0.0005473375985129602,0.006690148180630268,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
11,10000,16,0.0016,0.7452361574492261,0.9690317007211539,0.00402902456160726,0.46153846153846156,0.75,0.5714285714285714,0.0026,2.6,0.0014022435897435897,0.6702029041396598,1807.4300000000003,12,14,4,9970,0.0005575010000989838,0.01598108257191129,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
12,10000,8,0.0008,0.4241429639854692,0.9898293634907926,0.00402902456160726,0.1724137931034483,0.625,0.2702702702702703,0.0029,2.9,0.0024019215372297837,0.8796221013455481,768.1299999999999,5,24,3,9968,0.0005326115065758289,0.008740863267980587,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
13,10000,14,0.0014,0.7367746911057392,0.996856313124088,0.00402902456160726,0.38235294117647056,0.9285714285714286,0.5416666666666666,0.0034,3.4,0.0021029441217704785,0.8679915268980055,848.2099999999999,13,21,1,9965,0.0008249117469541908,0.01524464466302542,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
14,10000,3,0.0003,0.6701754385964912,0.9905971791537461,0.00402902456160726,0.07692307692307693,0.6666666666666666,0.13793103448275862,0.0026,2.6,0.0024007202160648195,0.9771949828962373,8.57,2,24,1,9973,0.00015936203134442017,0.023415259822060108,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
15,10000,29,0.0029,0.7753770330794669,0.9912435718756809,0.00402902456160726,0.3150684931506849,0.7931034482758621,0.45098039215686275,0.0073,7.3,0.005014542172299669,0.6087909040488075,3073.4199999999996,23,50,6,9921,0.0012365187457100662,0.04335540362014695,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
16,10000,63,0.0063,0.9351569471876594,0.9964458629045527,0.00402902456160726,0.5,0.9365079365079365,0.6519337016574586,0.0118,11.799999999999999,0.0059374056556304716,0.846264562099922,3692.4300000000003,59,59,4,9878,0.0008319248480874819,0.03902987640406167,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
17,10000,4,0.0004,0.95,0.9999749899959983,0.00402902456160726,0.125,1.0,0.2222222222222222,0.0032,3.2,0.0028011204481792717,1.0,293.84,4,28,0,9968,0.0002122741092085859,0.07268871507310891,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
18,10000,4,0.0004,0.7503844675124952,0.9350490196078431,0.00402902456160726,0.07317073170731707,0.75,0.13333333333333333,0.0041,4.1000000000000005,0.0038015206082432974,0.0864331757627847,201.13,3,38,1,9958,0.0001875392971474027,0.08203877968935541,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
19,10000,7,0.0007,0.6760465724751439,0.9995711283612815,0.00402902456160726,0.16666666666666666,1.0,0.2857142857142857,0.0042,4.2,0.003502451716201341,1.0,230.47,7,35,0,9958,0.00036505467689513474,0.06737996624345222,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
20,10000,14,0.0014,0.6445435741539705,0.9759448942805642,0.00402902456160726,0.15789473684210525,0.6428571428571429,0.2535211267605634,0.0057,5.7,0.004806729421189666,0.4706494378251384,1963.22,9,48,5,9938,0.0007180930415313713,0.08883404179901179,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
21,10000,9,0.0009,0.8629352198640587,0.960486660216417,0.00402902456160726,0.15384615384615385,0.8888888888888888,0.26229508196721313,0.0052,5.2,0.00440396356721049,0.9335826559592596,1525.25,8,44,1,9947,0.00020410912511471536,0.07604666158636167,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
22,10000,12,0.0012,0.7108774458951371,0.9439160325724202,0.00402902456160726,0.16666666666666666,0.75,0.2727272727272727,0.0054,5.4,0.0045054064877853425,0.9884681633725515,2370.0600000000004,9,45,3,9943,0.0004701622993941317,0.06898645463918707,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
23,10000,13,0.0013,0.8870934271908242,0.9904568246412644,0.00402902456160726,0.2222222222222222,0.9230769230769231,0.3582089552238806,0.0054,5.4,0.004205467107239411,1.0,1474.25,12,42,1,9945,0.0003141054713201529,0.07596430586381996,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
24,10000,18,0.0018,0.9143359658678286,0.9995380573921948,0.00402902456160726,0.3953488372093023,0.9444444444444444,0.5573770491803278,0.0043,4.3,0.002604688439190543,0.9886783117077584,1518.6,17,26,1,9956,0.00047187192703106027,0.07309716144488525,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
25,10000,21,0.0021,0.8393355778907674,0.9787172109048049,0.00402902456160726,0.45,0.8571428571428571,0.5901639344262295,0.004,4.0,0.002204629722417076,0.5699041188465931,1931.16,18,22,3,9957,0.0006363723623493146,0.08444384078878635,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
26,10000,13,0.0013,0.7619107922733146,0.9769084425137294,0.00402902456160726,0.3235294117647059,0.8461538461538461,0.46808510638297873,0.0034,3.4,0.0023029938920596776,0.6800013148379461,413.74,11,23,2,9964,0.0004274520208086199,0.10612952139081396,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
27,10000,10,0.001,0.9050761421319797,0.9981281281281281,0.00402902456160726,0.1836734693877551,0.9,0.3050847457627119,0.0049,4.8999999999999995,0.004004004004004004,0.9973762921761032,380.14,9,40,1,9950,0.00021272822361906885,0.09603439179012538,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
28,10000,7,0.0007,0.25739858240382707,0.937978013180655,0.00402902456160726,0.10256410256410256,0.5714285714285714,0.17391304347826086,0.0039,3.9,0.003502451716201341,0.5474009712633341,791.29,4,35,3,9958,0.0005838170955686776,0.11490585037441886,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
29,4807,4,0.0008321198252548367,0.7514903129657228,0.9652821153445764,0.00402902456160726,0.23076923076923078,0.75,0.35294117647058826,0.0027043894320782193,2.7043894320782194,0.002082032063293775,0.8838549347315529,323.65,3,10,1,4793,0.0004332699045718997,0.1292877831453631,Observed,Derived,Monitoring-period proxy,Small period fraud counts create volatile point estimates
