model,split,target_alert_rate,score_threshold,transactions_reviewed,actual_alert_rate,fraud_transactions_captured,fraud_transaction_recall,fraud_amount_captured,fraud_amount_recall,false_positives,precision,average_alert_value,data_layer,data_status,source_type,claim_boundary
logistic_class_weight,validation,0.0005,0.8590055957671353,30,0.0005,30,0.5084745762711864,5386.91,0.440305235445041,0,1.0,179.56366666666665,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.001,0.2705492194353715,60,0.001,41,0.6949152542372882,7716.180000000001,0.6306907766486385,19,0.6833333333333333,518.6346666666667,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.002,0.01559520373520977,120,0.002,46,0.7796610169491526,7760.400000000001,0.6343051488047315,74,0.38333333333333336,650.7927500000001,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.005,0.00402902456160726,300,0.005,48,0.8135593220338984,7764.380000000001,0.6346304586460082,252,0.16,452.34443333333337,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.01,0.002106331286258822,600,0.01,51,0.864406779661017,8990.78,0.7348716619981708,549,0.085,335.7174666666666,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.02,0.0012930399869304134,1200,0.02,51,0.864406779661017,8990.78,0.7348716619981708,1149,0.0425,239.16235833333334,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,validation,0.05,0.00071158124855894,3000,0.05,53,0.8983050847457628,9987.749999999998,0.8163601425151353,2947,0.017666666666666667,172.16595333333333,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.0005,0.6574107904365887,30,0.0005,21,0.3559322033898305,3127.4099999999994,0.2556224248007068,9,0.7,111.44699999999999,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.001,0.18736869598444397,60,0.001,36,0.6101694915254238,7071.67,0.5780110163970873,24,0.6,193.073,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.002,0.02497396589291516,120,0.002,47,0.7966101694915254,7724.380000000001,0.6313610130050374,73,0.39166666666666666,314.23391666666674,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.005,0.0065647881894868015,300,0.005,48,0.8135593220338984,7764.380000000001,0.6346304586460082,252,0.16,235.1531666666667,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.01,0.003855090465203283,600,0.01,50,0.847457627118644,8968.31,0.7330350509093554,550,0.08333333333333333,203.63271666666668,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.02,0.0023687596173259254,1200,0.02,50,0.847457627118644,8968.31,0.7330350509093554,1150,0.041666666666666664,146.07040833333332,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,validation,0.05,0.0011345309323680043,3000,0.05,51,0.864406779661017,8990.78,0.7348716619981708,2949,0.017,113.78587666666667,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.0005,0.9994294235294118,30,0.0005,0,0.0,0.0,0.0,30,0.0,3433.6343333333334,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.001,0.9988470647058824,60,0.001,0,0.0,0.0,0.0,60,0.0,2657.7243333333336,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.002,0.9978118235294118,120,0.002,1,0.01694915254237288,45.51,0.0037198117780144493,119,0.008333333333333333,1935.1686666666667,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.005,0.9954588529411764,300,0.005,13,0.22033898305084745,3057.17,0.24988127825516226,287,0.043333333333333335,1189.4227333333333,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.01,0.992541411764706,600,0.01,28,0.4745762711864407,4982.910000000001,0.4072838344712367,572,0.04666666666666667,856.5039333333334,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.02,0.9839297647058822,1200,0.02,44,0.7457627118644068,7395.810000000001,0.6045049691486937,1156,0.03666666666666667,713.5174666666667,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
isolation_forest,validation,0.05,0.9621944117647059,3000,0.05,50,0.847457627118644,9916.68,0.8105511549725408,2950,0.016666666666666666,515.9182000000001,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.0005,0.9438568859126526,37,0.0006750962468297845,36,0.4931506849315068,936.31,0.12119168610355352,1,0.972972972972973,719.6613513513514,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.001,0.28833301598347416,55,0.0010035214479902203,51,0.6986301369863014,4722.4,0.6112458677739436,4,0.9272727272727272,572.2614545454545,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.002,0.013551506561693977,110,0.0020070428959804406,58,0.7945205479452054,5328.070000000001,0.6896410237824657,52,0.5272727272727272,526.6008181818181,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.005,0.003242217928242995,275,0.005017607239951101,62,0.8493150684931506,5358.58,0.6935900987074578,213,0.22545454545454546,333.21036363636364,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.01,0.0016903653589660289,549,0.01001696863539329,63,0.863013698630137,5375.97,0.6958409808099034,486,0.11475409836065574,238.84990892531872,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.02,0.0010914022493703189,1097,0.020015691426277665,64,0.8767123287671232,5383.56,0.6968233957125809,1033,0.05834092980856882,171.46478577939837,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_class_weight,test,0.05,0.0006113910716300248,2741,0.050011859798930795,66,0.9041095890410958,5742.51,0.7432842427897995,2675,0.024078803356439256,131.14929587741702,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,test,0.0005,0.877762816908397,28,0.0005108836462495666,27,0.3698630136986301,272.97999999999996,0.035333283284967626,1,0.9642857142857143,927.2907142857142,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,test,0.001,0.3235368359257763,55,0.0010035214479902203,41,0.5616438356164384,2768.75,0.35837434279161157,14,0.7454545454545455,585.0545454545454,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,test,0.002,0.027810305853782438,110,0.0020070428959804406,55,0.7534246575342466,4976.12,0.6440862247050814,55,0.5,462.0396363636364,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,test,0.005,0.006742839829646537,275,0.005017607239951101,60,0.821917808219178,5343.13,0.691590321336395,215,0.21818181818181817,324.44952727272727,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
logistic_no_resampling,test,0.01,0.0037215815949526144,549,0.01001696863539329,62,0.8493150684931506,5363.66,0.6942476306844805,487,0.11293260473588343,207.9990892531876,Observed,Derived,Model ranking on validation/test,Observed amount capture; not guaranteed prevented loss
